group,n_trials,n_students,ai_correct_rate,follow_rate,accuracy,commission_rate_overall,omission_rate_overall,median_time_s,commission_when_ai_wrong,commission_ai_wrong_n,commission_ai_wrong_ci_low,commission_ai_wrong_ci_high
CONTROL,325.0,65.0,0.4,0.5846153846153846,0.4461538461538462,0.2923076923076923,0.1076923076923077,16.798,0.48717948717948717,195.0,0.41795280654895245,0.5569015320298608
INTERVENTION,320.0,64.0,0.4,0.559375,0.490625,0.246875,0.0875,19.034,0.4114583333333333,192.0,0.3442528875789561,0.4821372945370317
